id;saturacija;klasa;vrsta;tekst;stvarna_saturacija_klase;zadovoljava_li_kriterij_klase;postoji_li_riječ_na_jezičnom_portalu;ima_li_rečenica_smisla_subjektivno;sinteza_govora;napomena
59;0,50;N;riječ;Mramor;0,333333;NE;DA;-;DA;
60;0,50;N;riječ;Brb;0,666667;DA;NE;-;NE;
61;0,50;N;riječ;Mjed;0,250000;NE;DA;-;DA;
62;0,50;N;riječ;Buk;0,666667;DA;NE;-;NE;
63;0,50;N;riječ;Njega;0,250000;NE;DA;-;DA;
64;0,50;SN;riječ;Voda;0,500000;DA;DA;-;DA;
65;0,50;SN;riječ;Gol;1,000000;DA;DA;-;DA;
66;0,50;SN;riječ;Vino;0,500000;DA;DA;-;DA;
67;0,50;SN;riječ;Vlak;0,500000;DA;DA;-;DA;
68;0,50;SN;riječ;Vrh;0,666667;DA;DA;-;DA;
69;0,50;SN;riječ;Vogli;0,800000;DA;NE;-;NE;
70;0,50;SN;riječ;Golub;0,600000;DA;DA;-;DA;
71;0,50;SN;riječ;Vlas;0,500000;DA;DA;-;DA;
72;0,50;SN;riječ;Voz;0,666667;DA;DA;-;DA;
73;0,50;SN;riječ;Vrhov;0,800000;DA;NE;-;NE;
74;0,50;S;riječ;kovač;0,400000;NE;DA;-;DA;
75;0,50;S;riječ;kradljiv;0,571429;DA;DA;-;DA;
76;0,50;S;riječ;krađa;0,800000;DA;DA;-;DA;
77;0,50;S;riječ;karakter;0,750000;DA;DA;-;DA;
78;0,50;S;riječ;kraf;1,000000;DA;NE;-;NE;
79;0,50;S;riječ;krožni;0,500000;DA;NE;-;NE;
80;0,50;S;riječ;krat;0,750000;DA;NE;-;NE;
81;0,50;S;riječ;krajište;0,375000;NE;NE;-;NE;
82;0,50;S;riječ;krađev;0,500000;DA;NE;-;NE;
83;0,50;S;riječ;kratki;0,666667;DA;DA;-;DA;
84;0,50;SV;riječ;čest;0,750000;DA;DA;-;DA;
85;0,50;SV;riječ;šet;1,000000;DA;NE;-;NE;
86;0,50;SV;riječ;tjest;0,800000;DA;NE;-;NE;
87;0,50;SV;riječ;đečko;0,600000;DA;NE;-;MOŽE;"riječ je vrlo slična riječi ""dečko"" i koristi se u rečenici 40"
88;0,50;SV;riječ;češ;1,000000;DA;NE;-;NE;
89;0,50;SV;riječ;teš;1,000000;DA;NE;-;NE;
90;0,50;SV;riječ;jaš;0,666667;DA;NE;-;NE;
91;0,50;SV;riječ;čev;0,666667;DA;NE;-;NE;
92;0,50;SV;riječ;šeta;0,750000;DA;NE;-;NE;
93;0,50;SV;riječ;tež;0,666667;DA;NE;-;NE;
94;0,70;SN;riječ;golov;1,000000;DA;NE;-;NE;
95;0,70;SN;riječ;vogel;0,800000;DA;NE;-;NE;
96;0,70;SN;riječ;lova;0,750000;DA;DA;-;DA;
97;0,70;SN;riječ;hval;0,750000;DA;NE;-;NE;
98;0,70;SN;riječ;ljov;1,000000;DA;NE;-;NE;
99;0,70;SN;riječ;ljova;0,750000;DA;NE;-;NE;
100;0,70;SN;riječ;golj;1,000000;DA;NE;-;NE;
101;0,70;SN;riječ;voglj;1,000000;DA;NE;-;NE;
102;0,70;SN;riječ;gol;1,000000;DA;DA;-;DA;
103;0,70;SN;riječ;golovlj;1,000000;DA;NE;-;NE;
104;0,70;S;riječ;kada;1,000000;DA;DA;-;DA;
105;0,70;S;riječ;rad;1,000000;DA;DA;-;DA;
106;0,70;S;riječ;dak;1,000000;DA;DA;-;DA;
107;0,70;S;riječ;kar;1,000000;DA;DA;-;DA;
108;0,70;S;riječ;fa;1,000000;DA;DA;-;DA;
109;0,70;S;riječ;dakar;1,000000;DA;DA;-;DA;
110;0,70;S;riječ;raf;1,000000;DA;DA;-;DA;
111;0,70;S;riječ;žar;1,000000;DA;DA;-;DA;
112;0,70;S;riječ;krdža;1,000000;DA;DA;-;DA;
113;0,70;S;riječ;frak;1,000000;DA;DA;-;DA;
114;0,80;SN;riječ;voglj;1,000000;DA;NE;-;NE;
115;0,80;SN;riječ;golov;1,000000;DA;NE;-;NE;
116;0,80;SN;riječ;golov;1,000000;DA;NE;-;NE;
117;0,80;SN;riječ;vogli;0,800000;DA;NE;-;NE;
118;0,80;SN;riječ;voglo;1,000000;DA;NE;-;NE;
119;0,80;SN;riječ;voglo;1,000000;DA;NE;-;NE;
120;0,80;SN;riječ;golovlj;1,000000;DA;NE;-;NE;
121;0,80;SN;riječ;vogljov;1,000000;DA;NE;-;NE;
122;0,80;SN;riječ;golovlj;1,000000;DA;NE;-;NE;
123;0,80;SN;riječ;golovlj;1,000000;DA;NE;-;NE;
124;0,80;S;riječ;krađa;0,800000;DA;DA;-;DA;
125;0,80;S;riječ;bradža;0,800000;DA;NE;-;NE;
126;0,80;S;riječ;karadža;1,000000;DA;DA;-;DA;
127;0,80;S;riječ;kradža;1,000000;DA;NE;-;NE;
128;0,80;S;riječ;bradži;0,600000;NE;NE;-;NE;
129;0,80;S;riječ;kradži;0,800000;DA;NE;-;NE;
130;0,80;S;riječ;bradžen;0,500000;NE;NE;-;NE;
131;0,80;S;riječ;kradžen;0,666667;NE;NE;-;NE;
132;0,80;S;riječ;bradžić;0,500000;NE;NE;-;NE;
133;0,80;S;riječ;kradžić;0,666667;NE;NE;-;NE;
134;0,80;SV;riječ;Češći;0,600000;NE;DA;-;DA;
135;0,80;SV;riječ;Šetajte;0,857143;DA;NE*;-;MOŽE;riječ ne postoji na hrvatskom jezičnom portalu, ali ima značenje: imperativ drugog lica množine
136;0,80;SV;riječ;Tešći;0,600000;NE;NE;-;NE;
137;0,80;SV;riječ;Tešte;1,000000;DA;NE;-;NE;
138;0,80;SV;riječ;Češće;0,800000;DA;DA;-;DA;
139;0,80;SV;riječ;Šteći;0,600000;NE;NE;-;NE;
140;0,80;SV;riječ;Tešte;1,000000;DA;NE;-;NE;
141;0,80;SV;riječ;Češnj;0,750000;NE;NE;-;NE;
142;0,80;SV;riječ;Tešte;1,000000;DA;NE;-;NE;
143;0,80;SV;riječ;Češnj;0,750000;NE;NE;-;NE;
144;0,90;V;riječ;Ćelik;0,400000;NE;NE;-;NE;
145;0,90;V;riječ;Zvižd;0,400000;NE;DA;-;DA;
146;0,90;V;riječ;Ivić;0,750000;NE;DA;-;DA;
147;0,90;V;riječ;Ćuća;0,500000;NE;DA;-;DA;
148;0,90;V;riječ;Zvono;0,200000;NE;DA;-;DA;
149;0,90;V;riječ;Izvan;0,400000;NE;DA;-;DA;
150;0,90;V;riječ;Ćizma;0,600000;NE;NE;-;NE;
151;0,90;V;riječ;Svij;0,500000;NE;NE;-;NE;
152;0,90;V;riječ;Cvi;0,666667;NE;NE;-;NE;
153;0,90;V;riječ;Zvižd;0,400000;NE;DA;-;DA;
