datoteka;MAX_NEW_TOKENS;zadatak;saturacija;klasa;završeno;tekst;vrijeme [s];broj_riječi;broj_znakova
2025-07-19_181107_task_16.txt;2048;rečenica;80%;N;NE;;782.66 ;;
2025-07-19_181839_task_17.txt;2048;rečenica;80%;SN;DA;Voda gura lozju, hvala ljubavi, vjetar gusar ljeto hod, vuk gura loza hren ljut.;452.23 ;;60
2025-07-19_182301_task_18.txt;2048;rečenica;80%;S;DA;Državamo karakater silne znanja i iskušene stručnost jer to je ključna osnova za dobrodošljiv razvoj i doživjet ćemo to zajedno.;261.74 ;;105
2025-07-19_182846_task_19.txt;2048;rečenica;80%;SV;DA;Šljun šeđeći šećer šljebiše te šljubaste šećere šljebišeše.;345.14 ;;47
2025-07-19_183338_task_20.txt;2048;rečenica;80%;V;DA;Vjetar šešerice šuma šumiše, šuma šume, šume.;291.62 ;;36
2025-07-19_183755_task_21.txt;2048;rečenica;90%;N;DA;mm, mn, mmm, mnm, mmmm, mmn, mmmmm, mmnn, mmmmmm, mmmmmmm, i;257.45 ;;40
2025-07-19_185101_task_22.txt;2048;rečenica;90%;SN;NE;;785.98 ;;
2025-07-19_185727_task_23.txt;2048;rečenica;90%;S;DA;Brada kroži krađu, rađa se nad kožom, a kroz kraj džungli, život se širi.;385.33 ;;55
2025-07-19_190759_task_24.txt;2048;rečenica;90%;SV;DA;Teško je često šest ježevađevojki koje teško je često šest ježevađevojki.;632.04 ;;62
2025-07-19_192114_task_25.txt;2048;rečenica;90%;V;NE;;795.62 ;;
2025-07-19_201945_task_1.txt;2048;10 riječi;50%;N;DA;"Mama;Mjesečina;Njen;Babica;Mud;Mramor;Brb;Mjed;Buk;Njega";488.60 ;10;
2025-07-19_202632_task_2.txt;2048;10 riječi;50%;SN;DA;"Voda;Gol;Vino;Vlak;Vrh;Vogli;Golub;Vlas;Voz;Vrhov";406.55 ;10;
2025-07-19_203904_task_3.txt;2048;10 riječi;50%;S;DA;"kovač;kradljiv;krađa;karakter;kraf;krožni;krat;krajište;krađev;kratki";751.56 ;10;
2025-07-19_204850_task_4.txt;2048;10 riječi;50%;SV;DA;"čest;šet;tjest;đečko;češ;teš;jaš;čev;šeta;tež";586.59 ;10;
2025-07-19_205745_task_5.txt;2048;10 riječi;50%;V;NE;;535.18 ;;
2025-07-19_211104_task_6.txt;2048;10 riječi;60%;N;NE;;798.26 ;;
2025-07-19_212425_task_7.txt;2048;10 riječi;60%;SN;NE;;801.81 ;;
2025-07-19_213745_task_8.txt;2048;10 riječi;60%;S;NE;;799.17 ;;
2025-07-19_215050_task_9.txt;2048;10 riječi;60%;SV;NE;;784.92 ;;
2025-07-19_220358_task_10.txt;2048;10 riječi;60%;V;NE;;788.01 ;;
2025-07-19_221704_task_11.txt;2048;10 riječi;70%;N;NE;;786.76 ;;
2025-07-19_223002_task_12.txt;2048;10 riječi;70%;SN;DA;"golov;vogel;lova;hval;ljov;ljova;golj;voglj;gol;golovlj";777.73 ;10;
2025-07-19_224051_task_13.txt;2048;10 riječi;70%;S;DA;"kada;rad;dak;kar;fa;dakar;raf;žar;krdža;frak";648.64 ;10;
2025-07-19_225355_task_14.txt;2048;10 riječi;70%;SV;NE;;784.56 ;;
2025-07-19_230659_task_15.txt;2048;10 riječi;70%;V;NE;;783.52 ;;
2025-07-19_232004_task_16.txt;2048;10 riječi;80%;N;NE;;785.75 ;;
2025-07-19_232839_task_17.txt;2048;10 riječi;80%;SN;DA;"voglj;golov;golov;vogli;voglo;voglo;golovlj;vogljov;golovlj;golovlj";514.54 ;10;
2025-07-19_233701_task_18.txt;2048;10 riječi;80%;S;DA;"krađa;bradža;karadža;kradža;bradži;kradži;bradžen;kradžen;bradžić;kradžić";502.03 ;10;
2025-07-19_234904_task_19.txt;2048;10 riječi;80%;SV;DA;"Češći;Šetajte;Tešći;Tešte;Češće;Šteći;Tešte;Češnj;Tešte;Češnj";723.16 ;10;
2025-07-20_000226_task_20.txt;2048;10 riječi;80%;V;NE;;801.33 ;;
2025-07-20_001538_task_21.txt;2048;10 riječi;90%;N;NE;;792.22 ;;
2025-07-20_002848_task_22.txt;2048;10 riječi;90%;SN;NE;;790.73 ;;
2025-07-20_004203_task_23.txt;2048;10 riječi;90%;S;NE;;794.52 ;;
2025-07-20_005515_task_24.txt;2048;10 riječi;90%;SV;NE;;792.06 ;;
2025-07-20_010811_task_25.txt;2048;10 riječi;90%;V;DA;"Ćelik;Zvižd;Ivić;Ćuća;Zvono;Izvan;Ćizma;Svij;Cvi;Zvižd";775.71 ;10;
